업종명,인허가일자,업소명,소재지(도로명),소재지(지번),영업장면적,소재지전화,업태명
,,이모저모,경상북도 김천시 남산동 23-10,경상북도 김천시 남산동 23-10,,,
,,대한불교조계종 직지사,경상북도 김천시 대항면 운수리 216,경상북도 김천시 대항면 운수리 216,,,
,,통영종합수산,경상북도 김천시 부곡동 420-1,경상북도 김천시 부곡동 420-1,,,
,,돈치킨김천점,경상북도 김천시 신음동 989-15,경상북도 김천시 신음동 989-15,,,
,,배스킨라빈스 이마트점,경상북도 김천시 신음동 990-1,경상북도 김천시 신음동 990-1,,,
,,미쳐버린파닭,경상북도 김천시 삼락동 962-5,경상북도 김천시 삼락동 962-5,,,
,,하와이새우트럭 구미점,경상북도 구미시 남통동 296-2,경상북도 구미시 남통동 296-2,,,
,,진땡이국밥,경상북도 칠곡군 왜관읍 시장1길 2,경상북도 칠곡군 왜관읍 시장1길 2,,,
,,들밥상,경상북도 구미시 송정동 461-14,경상북도 구미시 송정동 461-14,,,
,,김천인터넷뉴스,경상북도 김천시 부곡동 영남대로 1372 2층,경상북도 김천시 부곡동 영남대로 1372 2층,,,
,,바보온달해장국설렁탕,경상북도 성주군 성주읍 성산리 660-10,경상북도 성주군 성주읍 성산리 660-10,,,
,,대도식당,경상북도 김천시 남산동 16-1,경상북도 김천시 남산동 16-1,,,
,,저자거리,경상북도 김천시 교동 903,경상북도 김천시 교동 903,,,
,,청산고을,경상북도 김천시 대항면 향천리 311-11,경상북도 김천시 대항면 향천리 311-11,,,
,,머루랑다래랑,경상북도 김천시 대항면 복전리 226-5,경상북도 김천시 대항면 복전리 226-5,,,
,,부일식당,경상북도 김천시 대항면 향천리 311-8,경상북도 김천시 대항면 향천리 311-8,,,
,,청심식당,경상북도 김천시 성내동 38-10,경상북도 김천시 성내동 38-10,,,
,,행복한밥상,경상북도 김천시 농소면 월곡리 592,경상북도 김천시 농소면 월곡리 592,,,
,,경복궁식당,경상북도 김천시 대항면 향천리 317-6,경상북도 김천시 대항면 향천리 317-6,,,
,,홍익궁중전통육개장 김천혁신점,경상북도 김천시 율곡동 793 KR 39660 드림스퀘어,경상북도 김천시 율곡동 793 KR 39660 드림스퀘어,,,
,,이자와 김천혁신점,경상북도 김천시 남면 혁신3로 46,경상북도 김천시 남면 혁신3로 46,,,
,,용두식당,경상북도 김천시 용두동 134-5,경상북도 김천시 용두동 134-5,,,
,,호박식당,경상북도 김천시 교동 812-1,경상북도 김천시 교동 812-1,,,
